Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
227.957,2.158e+7,2.158e+7,,1.401e-12
227.962,4.439e+7,4.439e+7,,1.402e-12
227.967,8.295e+7,8.295e+7,,1.404e-12
227.972,1.408e+8,1.408e+8,,1.406e-12
227.977,2.171e+8,2.171e+8,,1.407e-12
227.982,3.039e+8,3.039e+8,,1.409e-12
227.987,3.866e+8,3.866e+8,,1.411e-12
227.992,4.465e+8,4.465e+8,,1.412e-12
227.997,4.685e+8,4.685e+8,,1.414e-12
228.002,4.465e+8,4.465e+8,,1.416e-12
228.007,3.866e+8,3.866e+8,,1.417e-12
228.012,3.039e+8,3.039e+8,,1.419e-12
228.017,2.171e+8,2.171e+8,,1.421e-12
228.022,1.408e+8,1.408e+8,,1.422e-12
228.027,8.295e+7,8.295e+7,,1.424e-12
228.032,4.439e+7,4.439e+7,,1.426e-12
228.037,2.158e+7,2.158e+7,,1.427e-12
228.042,9.527e+6,9.527e+6,,1.429e-12
228.047,3.820e+6,3.820e+6,,1.430e-12
228.052,1.391e+6,1.391e+6,,1.432e-12
228.057,4.604e+5,4.604e+5,,1.434e-12
228.062,1.383e+5,1.383e+5,,1.435e-12
228.067,3.776e+4,3.776e+4,,1.437e-12
228.072,9.360e+3,9.360e+3,,1.439e-12
228.077,2.108e+3,2.108e+3,,1.440e-12
228.082,4.311e+2,4.311e+2,,1.442e-12
228.087,8.008e+1,8.008e+1,,1.444e-12
228.092,1.351e+1,1.351e+1,,1.445e-12
228.097,2.071e+0,2.071e+0,,1.447e-12
228.102,2.883e-1,2.883e-1,,1.449e-12
228.107,3.645e-2,3.645e-2,,1.450e-12
228.112,4.186e-3,4.186e-3,,1.452e-12
228.117,4.366e-4,4.366e-4,,1.454e-12
228.122,4.137e-5,4.137e-5,,1.455e-12
228.127,3.560e-6,3.560e-6,,1.457e-12
228.132,2.783e-7,2.783e-7,,1.459e-12
228.137,1.976e-8,1.976e-8,,1.460e-12
228.142,1.274e-9,1.274e-9,,1.462e-12
229.836,8.911e-11,8.911e-11,,2.023e-12
229.841,1.449e-9,1.449e-9,,2.025e-12
229.846,2.143e-8,2.143e-8,,2.026e-12
229.851,2.884e-7,2.884e-7,,2.028e-12
229.856,3.531e-6,3.531e-6,,2.030e-12
229.861,3.934e-5,3.934e-5,,2.031e-12
229.866,3.987e-4,3.987e-4,,2.033e-12
229.871,3.676e-3,3.676e-3,,2.034e-12
229.876,3.084e-2,3.084e-2,,2.036e-12
229.881,2.354e-1,2.354e-1,,2.038e-12
229.886,1.634e+0,1.634e+0,,2.039e-12
229.891,1.032e+1,1.032e+1,,2.041e-12
229.896,5.934e+1,5.934e+1,,2.043e-12
229.901,3.103e+2,3.103e+2,,2.044e-12
229.906,1.476e+3,1.476e+3,,2.046e-12
229.911,6.390e+3,6.390e+3,,2.048e-12
229.916,2.516e+4,2.516e+4,,2.049e-12
229.921,9.016e+4,9.016e+4,,2.051e-12
229.926,2.939e+5,2.939e+5,,2.053e-12
