Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
212.408,1.706e+4,1.706e+4,3.017e-15,1.802e-22
212.413,3.268e+3,3.268e+3,3.019e-15,1.802e-22
212.418,5.604e+2,5.604e+2,3.021e-15,1.801e-22
212.423,8.601e+1,8.601e+1,3.023e-15,1.801e-22
212.428,1.181e+1,1.181e+1,3.025e-15,1.800e-22
212.433,1.453e+0,1.453e+0,3.028e-15,1.800e-22
212.438,1.599e-1,1.599e-1,3.030e-15,1.799e-22
212.443,1.574e-2,1.574e-2,3.032e-15,1.799e-22
212.448,1.388e-3,1.388e-3,3.034e-15,1.798e-22
212.453,1.095e-4,1.095e-4,3.036e-15,1.798e-22
212.458,7.734e-6,7.734e-6,3.039e-15,1.797e-22
212.463,4.888e-7,4.888e-7,3.041e-15,1.797e-22
212.468,2.765e-8,2.765e-8,3.043e-15,1.796e-22
212.473,1.400e-9,1.400e-9,3.045e-15,1.796e-22
212.478,6.345e-11,6.345e-11,3.047e-15,1.796e-22
212.483,2.574e-12,2.574e-12,3.049e-15,1.795e-22
212.815,1.895e-13,1.895e-13,3.194e-15,1.763e-22
212.820,5.006e-12,5.006e-12,3.196e-15,1.762e-22
212.825,1.185e-10,1.185e-10,3.198e-15,1.762e-22
212.830,2.511e-9,2.511e-9,3.201e-15,1.761e-22
212.835,4.765e-8,4.765e-8,3.203e-15,1.761e-22
212.840,8.101e-7,8.101e-7,3.205e-15,1.761e-22
212.845,1.233e-5,1.233e-5,3.207e-15,1.760e-22
212.850,1.682e-4,1.682e-4,3.209e-15,1.760e-22
212.855,2.054e-3,2.054e-3,3.212e-15,1.759e-22
212.860,2.247e-2,2.247e-2,3.214e-15,1.759e-22
212.865,2.201e-1,2.201e-1,3.216e-15,1.758e-22
212.870,1.931e+0,1.931e+0,3.218e-15,1.758e-22
212.875,1.518e+1,1.518e+1,3.220e-15,1.757e-22
212.880,1.068e+2,1.068e+2,3.222e-15,1.757e-22
212.885,6.732e+2,6.732e+2,3.225e-15,1.756e-22
212.890,3.800e+3,3.800e+3,3.227e-15,1.756e-22
212.895,1.922e+4,1.922e+4,3.229e-15,1.755e-22
212.900,8.701e+4,8.701e+4,3.231e-15,1.755e-22
212.906,4.608e+5,4.608e+5,3.234e-15,1.754e-22
212.911,1.637e+6,1.637e+6,3.236e-15,1.754e-22
212.916,5.209e+6,5.209e+6,3.238e-15,1.753e-22
212.921,1.485e+7,1.485e+7,3.240e-15,1.753e-22
212.926,3.789e+7,3.789e+7,3.242e-15,1.752e-22
212.931,8.663e+7,8.663e+7,3.245e-15,1.752e-22
212.936,1.774e+8,1.774e+8,3.247e-15,1.751e-22
212.941,3.252e+8,3.252e+8,3.249e-15,1.751e-22
212.946,5.341e+8,5.341e+8,3.251e-15,1.750e-22
212.951,7.856e+8,7.856e+8,3.253e-15,1.750e-22
212.956,1.035e+9,1.035e+9,3.256e-15,1.749e-22
212.961,1.221e+9,1.221e+9,3.258e-15,1.749e-22
212.966,1.290e+9,1.290e+9,3.260e-15,1.748e-22
212.971,1.221e+9,1.221e+9,3.262e-15,1.748e-22
212.976,1.035e+9,1.035e+9,3.264e-15,1.747e-22
212.981,7.856e+8,7.856e+8,3.266e-15,1.747e-22
212.986,5.341e+8,5.341e+8,3.269e-15,1.746e-22
212.991,3.252e+8,3.252e+8,3.271e-15,1.746e-22
